fighter,height_cm,reach_cm,weight_kg,stance,age,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Josh Barnett,190.5,198.1,113.4,Orthodox,48.9,3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4
Carlos Barreto,193.0,,104.3,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Barreto,,,83.9,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Barrera,175.3,,77.1,Orthodox,45.7,0.8,0.7,1.2,0.28,1.0,0.08,0.0,0.0
Peter Barrett,177.8,185.4,65.8,Southpaw,40.1,4.18,0.61,4.32,0.42,1.39,0.22,0.66,0.0
David Barrios,167.6,,65.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc-Andre Barriault,185.4,188.0,83.9,Orthodox,36.6,4.25,0.46,4.12,0.57,0.55,0.28,0.69,0.0
Alexandre Barros,175.3,,77.1,Southpaw,49.8,0.98,0.4,4.05,0.36,1.84,0.5,1.0,0.0
Ricardo Barros,185.4,,93.0,,50.5,0.0,0.0,8.22,0.31,0.0,0.0,1.0,0.0
Francimar Barroso,185.4,190.5,93.0,Orthodox,46.6,2.77,0.52,3.07,0.59,2.22,0.24,0.83,0.0
Dean Barry,,,70.3,,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enrique Barzola,170.2,177.8,65.8,Orthodox,37.4,3.91,0.41,2.97,0.68,4.2,0.45,0.66,0.3
Stephen Bass,175.3,,65.8,Orthodox,43.9,4.87,0.52,5.87,0.55,0.0,0.0,0.0,0.0
Pat Barry,180.3,188.0,106.6,Orthodox,47.2,2.72,0.52,3.54,0.59,0.0,0.0,0.76,0.2
Sean Bassett,,,70.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Bastianelli,165.1,,61.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shayna Baszler,170.2,,61.2,Orthodox,46.1,2.49,0.3,6.36,0.51,0.67,0.18,0.44,1.3
Batgerel Danaa,170.2,177.8,61.2,Orthodox,37.2,5.66,0.38,2.61,0.58,0.0,0.0,0.57,0.0
Michel Batista,190.5,,117.9,Orthodox,42.4,0.0,0.0,4.03,0.4,6.72,0.5,0.0,0.0
Alan Baudot,190.5,200.7,110.2,Orthodox,38.6,1.89,0.25,10.11,0.36,0.0,0.0,0.0,0.0
Mario Bautista,175.3,175.3,61.2,Switch,33.2,5.71,0.45,4.78,0.54,0.48,0.33,0.7,0.0
